index,flour,water,protein,fat,carbs,fiber
pumpkin_puree,0.0,0.9,0.01,0.001,0.065,0.005
quark,0.0,0.5,0.12,0.002,0.04,0.0
quinoa,0.0,0.0,0.141,0.061,0.642,0.07
quinoa,0.0,-0.78,0.141,0.061,0.642,0.07
quinoa,0.0,-1.04,0.141,0.061,0.642,0.07
raisins,0.0,0.15,0.031,0.005,0.792,0.037
red_rye_malt,1.0,0.0,0.09,0.015,0.75,0.1
removed,0.0,0.0,0.0,0.0,0.0,0.0
removed_flour,1.0,0.0,0.11,0.012,0.74,0.03
removed_bran,1.0,0.0,0.0,0.0,0.0,0.0
removed_water,0.0,1.0,0.0,0.0,0.0,0.0
rye,1.0,0.0,0.1,0.015,0.76,0.15
rye_berries,0.0,-0.68,0.0,0.0,0.0,0.0
rye_white,1.0,0.0,0.0,0.0,0.0,0.0
rye_whole,1.0,0.0,0.0,0.0,0.0,0.0
rye_medium,1.0,0.0,0.0,0.0,0.0,0.0
salt,0.0,0.0,0.0,0.0,0.0,0.0
semolina,1.0,0.0,0.127,0.011,0.728,0.039
sesame_seeds,0.0,0.0,0.177,0.497,0.235,0.118
sesame_seeds_sr,0.0,-0.58,0.177,0.497,0.235,0.118
sesame_seeds_sb,0.0,-0.68,0.177,0.497,0.235,0.118
skim_milk_powder,0.0,0.0,0.032,0.033,0.048,0.0
sorghum,1.0,0.0,0.113,0.033,0.746,0.063
sour_cream,0.0,0.74,0.024,0.193,0.046,0.0
spelt,1.0,0.0,0.146,0.024,0.702,0.107
steel_cut_oats,0.0,-0.7,0.0,0.0,0.0,0.0
sugar,0.0,0.0,0.0,0.0,1.0,0.0
sunflower_seeds,0.0,0.0,0.208,0.515,0.2,0.086
sunflower_seeds_sr,0.0,-0.8,0.208,0.515,0.2,0.086
sunflower_seeds_sb,0.0,-0.8,0.208,0.515,0.2,0.086
sweet_potato,0.0,0.76,0.016,0.001,0.201,0.03
vanilla_extract,0.0,0.0,0.001,0.001,0.127,0.0
vinegar,0.0,1.0,0.0,0.0,0.001,0.0
vital_wheat_gluten,1.0,0.0,0.752,0.019,0.139,0.006
vwg,1.0,0.0,0.752,0.019,0.139,0.006
unknown,0.0,0.0,0.0,0.0,0.0,0.0
walnuts,0.0,0.0,0.152,0.652,0.137,0.067
water,0.0,1.0,0.0,0.0,0.0,0.0
wgbi,1.0,0.0,0.1,0.01,0.7,0.05
wheat_bran,0.0,-0.96,0.156,0.043,0.645,0.428
wheat_flakes,1.0,0.0,0.1,0.02,0.75,0.1
wheat_flakes_sr,0.0,-1.0,0.1,0.02,0.75,0.1
wheat_flakes_sb,0.0,-1.8,0.1,0.02,0.75,0.1
wheat_germ,1.0,0.0,0.26,0.14,0.51,0.1
whey,0.0,0.93,0.009,0.004,0.051,0.0
whole_wheat,1.0,0.0,0.132,0.025,0.72,0.107
ww,1.0,0.0,0.132,0.025,0.72,0.107
ww_flour,1.0,0.0,0.132,0.025,0.72,0.107
yeast,0.0,0.0,0.4,0.076,0.412,0.269
yogurt,0.0,0.88,0.035,0.033,0.047,0.0
